source,year,fatalities,injured,total_victims,incident_area,open_close,age,gender,race,mental_health,multiple_shooters,risk_rule,risk_std,risk_quartile
kaggle,2017,26,20,46,Religious,Close,26.0,M,White,No,0,VeryHigh,VeryHigh,VeryHigh
kaggle,2017,3,0,3,Commercial,Open,47.0,M,White,No,0,Low,Medium,Low
kaggle,2017,3,3,6,Commercial,Close,37.0,M,Black,No,0,Low,Medium,Medium
kaggle,2017,3,2,5,Workplace,Close,38.0,M,Asian,Yes,0,Low,Medium,Medium
kaggle,2017,3,0,3,Commercial,Close,24.0,M,White,Unclear,0,Low,Medium,Low
kaggle,2017,5,0,5,Workplace,Close,45.0,M,Unknown,Unclear,0,Low,Medium,Medium
kaggle,2017,4,0,4,Workplace,Close,43.0,M,White,Yes,0,Low,Medium,Low
kaggle,2017,3,0,3,Public_Open,Open,39.0,M,Black,Unclear,0,Low,Medium,Low
kaggle,2017,5,6,11,Workplace,Close,26.0,M,Latino,Yes,0,Medium,Medium,VeryHigh
kaggle,2016,5,0,5,Commercial,Close,20.0,M,Unknown,Yes,0,Low,Medium,Medium
kaggle,2016,6,3,9,Public_Open,Open,32.102409638554214,M,Black,Yes,0,Low,Medium,High
kaggle,2016,10,11,21,Public_Open,Open,25.0,M,Black,Unclear,0,High,High,VeryHigh
kaggle,2016,0,4,4,Public_Open,Open,32.102409638554214,U,Unknown,Unknown,0,Low,Medium,Low
kaggle,2016,1,4,5,Public_Open,Open,32.102409638554214,U,Unknown,Unknown,0,Low,Medium,Medium
kaggle,2016,0,6,6,Public_Open,Open,32.102409638554214,M,Black,Unknown,0,Low,Medium,Medium
kaggle,2016,0,4,4,Public_Open,Open,32.102409638554214,M,Black,Unknown,0,Low,Medium,Low
kaggle,2016,1,4,5,Public_Open,Open,32.102409638554214,U,Unknown,Unknown,0,Low,Medium,Medium
kaggle,2016,4,0,4,Home,Close,32.102409638554214,M,Unknown,Unknown,0,Low,Medium,Low
kaggle,2016,1,4,5,Public_Open,Open,32.102409638554214,M,Unknown,Yes,0,Low,Medium,Medium
kaggle,2016,0,3,3,Public_Open,Open,32.102409638554214,U,Unknown,Unknown,0,Low,Medium,Low
kaggle,2016,0,4,4,Public_Open,Close,32.102409638554214,M,Unknown,Unknown,0,Low,Medium,Low
kaggle,2016,0,4,4,Commercial,Open,32.102409638554214,U,Unknown,Unknown,0,Low,Medium,Low
kaggle,2016,0,5,5,Other,Open,32.102409638554214,U,Unknown,Unknown,0,Low,Medium,Medium
kaggle,2016,3,1,4,Commercial,Close,32.102409638554214,M,Unknown,Unknown,0,Low,Medium,Low
kaggle,2016,2,2,4,Public_Open,Open,32.102409638554214,M,Black,Unknown,0,Low,Medium,Low
kaggle,2016,3,0,3,Home,Close,32.102409638554214,M,Black,Unknown,0,Low,Medium,Low
kaggle,2016,2,2,4,Home,Close,32.102409638554214,M,Unknown,Unknown,0,Low,Medium,Low
kaggle,2016,2,2,4,Home,Close,32.102409638554214,M,Unknown,Yes,0,Low,Medium,Low
kaggle,2016,4,0,4,Home,Unknown,32.102409638554214,M,Unknown,Unknown,0,Low,Medium,Low
