strategy,model,threshold_mode,features,train_sources,test_source,accuracy_mean,accuracy_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std,recall_very_high_mean,recall_very_high_std,precision_very_high_mean,precision_very_high_std,f1_very_high_mean,f1_very_high_std
quartile,decision_tree,default,ctx,kaggle+mother_jones,stanford_msa,0.16826347305389222,0.08678504076294424,0.1340173065026106,0.09197837153906849,0.16826347305389222,0.08678504076294424,0.10105363034532577,0.09312152025544894,0.8857142857142858,0.063887656499994,0.13010450160771705,0.03208505900190615,0.22633069926941998,0.050008975193822636
quartile,decision_tree,default,ctx,kaggle+stanford_msa,mother_jones,0.5605095541401274,0.0,0.31977788665686757,0.0,0.5605095541401274,0.0,0.40722734953854156,0.0,0.9887640449438202,0.0,0.5641025641025641,0.0,0.7183673469387755,0.0
quartile,decision_tree,default,ctx,mother_jones+stanford_msa,kaggle,0.29968253968253966,0.02124850861038921,0.3007460570850785,0.14272589978428316,0.29968253968253966,0.02124850861038921,0.22947951533331085,0.03437547312257159,0.8192307692307693,0.10320313742306725,0.2386513729579423,0.0012435553576641283,0.36859645656326157,0.010839399535268706
quartile,decision_tree,default,full,kaggle+mother_jones,stanford_msa,0.41916167664670656,0.006694814303891607,0.3061363602254654,0.0716430574331666,0.41916167664670656,0.006694814303891607,0.33377266187854787,0.04403435374343664,0.12380952380952381,0.27684651149997397,0.05591397849462365,0.12502745680643984,0.07703703703703704,0.17226005159998378
quartile,decision_tree,default,full,kaggle+stanford_msa,mother_jones,0.4726114649681529,0.012251836981956268,0.47273716100616614,0.02263357315961629,0.4726114649681529,0.012251836981956268,0.46565004388001324,0.014894745838113758,0.6134831460674157,0.006154186039383817,0.6708627100996579,0.007673465985787898,0.6408470199694024,0.0034808438668476388
quartile,decision_tree,default,full,mother_jones+stanford_msa,kaggle,0.3092063492063492,0.019901495896707904,0.2932798765309178,0.06982425139032122,0.3092063492063492,0.019901495896707904,0.2661956843807056,0.030552291197472194,0.5115384615384615,0.2265642534618945,0.371782424695046,0.09320401730802177,0.38315963606286185,0.09632866699619316
quartile,decision_tree,youden,ctx,kaggle+mother_jones,stanford_msa,0.248502994011976,0.12235219605809909,0.18272480813674946,0.12117238238270917,0.248502994011976,0.12235219605809909,0.18977113624887887,0.10717313736769427,0.3,0.19166296949998196,0.09570422535211268,0.0810136204907474,0.1286083213773314,0.07949448048926946
quartile,decision_tree,youden,ctx,kaggle+stanford_msa,mother_jones,0.25477707006369427,0.0,0.4878365691832481,0.00014258182690338918,0.25477707006369427,0.0,0.15771213408472792,0.00019042420049793322,0.07865168539325842,0.0,0.7777777777777778,0.0,0.14285714285714285,0.0
quartile,decision_tree,youden,ctx,mother_jones+stanford_msa,kaggle,0.32317460317460317,0.01153390611084759,0.3126762453103441,0.057889963392022445,0.32317460317460317,0.01153390611084759,0.26165995634372596,0.014155467148156183,0.12692307692307692,0.2838086279134348,0.04817518248175183,0.10772298285765411,0.06984126984126984,0.1561698269999853
quartile,decision_tree,youden,full,kaggle+mother_jones,stanford_msa,0.33952095808383237,0.037251092251486935,0.30353940872447077,0.032181073855604966,0.33952095808383237,0.037251092251486935,0.29866471930328176,0.009381084039648489,0.3619047619047619,0.3124404705204619,0.1702990033222591,0.10498952576788578,0.20191770845976453,0.11440268052567733
