test_source,recall_very_high_mean,recall_very_high_std,strategy,model,threshold_mode,features
kaggle,0.46923076923076923,0.10320313742306722,quartile,random_forest,default,ctx
mother_jones,0.8247191011235955,0.12923790682706165,quartile,random_forest,default,ctx
stanford_msa,0.8047619047619048,0.010647942749998977,quartile,random_forest,default,ctx
kaggle,0.8653846153846153,0.0,quartile,decision_tree_d3,default,ctx
mother_jones,0.9887640449438202,0.0,quartile,decision_tree_d3,default,ctx
stanford_msa,0.8857142857142858,0.063887656499994,quartile,decision_tree_d3,default,ctx
kaggle,0.7461538461538462,0.2666081050095903,quartile,decision_tree_d4,default,ctx
mother_jones,0.9865168539325844,0.005024871859550116,quartile,decision_tree_d4,default,ctx
stanford_msa,0.8666666666666668,0.07453559924999296,quartile,decision_tree_d4,default,ctx
kaggle,0.7461538461538462,0.26660810500959037,quartile,decision_tree_d5,default,ctx
mother_jones,0.9370786516853933,0.11557205276965203,quartile,decision_tree_d5,default,ctx
stanford_msa,0.8476190476190476,0.085183541999992,quartile,decision_tree_d5,default,ctx
kaggle,0.8653846153846153,0.0,quartile,decision_tree_d6,default,ctx
mother_jones,0.9797752808988763,0.005024871859550116,quartile,decision_tree_d6,default,ctx
stanford_msa,0.8095238095238095,0.029160592175990208,quartile,decision_tree_d6,default,ctx
kaggle,0.7461538461538462,0.18060549049036762,quartile,decision_tree_d7,default,ctx
mother_jones,0.8516853932584268,0.281392824134805,quartile,decision_tree_d7,default,ctx
stanford_msa,0.8047619047619048,0.019920476822239915,quartile,decision_tree_d7,default,ctx
kaggle,0.46923076923076923,0.10320313742306722,quartile,decision_tree_dunconstrained,default,ctx
mother_jones,0.7797752808988764,0.11054718091010196,quartile,decision_tree_dunconstrained,default,ctx
stanford_msa,0.7952380952380953,0.013041013273932558,quartile,decision_tree_dunconstrained,default,ctx
