feature,importance_mean,importance_std,strategy,model,threshold_mode
age,0.005198019801980203,0.007083706941214948,std,decision_tree,default
incident_area_Military,0.0,0.0,std,decision_tree,default
incident_area_Home,0.0,0.0,std,decision_tree,default
incident_area_Public_Open,0.0,0.0,std,decision_tree,default
incident_area_Religious,0.0,0.0,std,decision_tree,default
incident_area_School,0.0,0.0,std,decision_tree,default
incident_area_Other,0.0,0.0,std,decision_tree,default
incident_area_Workplace,0.0,0.0,std,decision_tree,default
open_close_Open,0.0,0.0,std,decision_tree,default
open_close_Unknown,0.0,0.0,std,decision_tree,default
open_close_Open/Close,0.0,0.0,std,decision_tree,default
gender_MF,0.0,0.0,std,decision_tree,default
gender_U,0.0,0.0,std,decision_tree,default
mental_health_Unclear,0.0,0.0,std,decision_tree,default
gender_M,0.0,0.0,std,decision_tree,default
mental_health_Unknown,0.0,0.0,std,decision_tree,default
mental_health_Yes,0.0,0.0054229956188630345,std,decision_tree,default
race_Latino,0.0,0.0,std,decision_tree,default
race_Black,0.0,0.0,std,decision_tree,default
race_White,0.0,0.0,std,decision_tree,default
race_Unknown,0.0,0.0,std,decision_tree,default
multiple_shooters,0.0,0.0,std,decision_tree,default
race_Other,-0.002722772277227725,0.002462840190857972,std,decision_tree,default
