feature,method,importance_mean,importance_std,strategy,model,threshold_mode
incident_area_Home,permutation_primary,0.0,0.0,std,decision_tree,default
incident_area_Military,permutation_primary,0.0,0.0,std,decision_tree,default
incident_area_Other,permutation_primary,0.0,0.0,std,decision_tree,default
incident_area_Public_Open,permutation_primary,0.0,0.0,std,decision_tree,default
incident_area_Religious,permutation_primary,0.0,0.0,std,decision_tree,default
incident_area_School,permutation_primary,0.0,0.0,std,decision_tree,default
incident_area_Workplace,permutation_primary,0.0,0.0,std,decision_tree,default
open_close_Open,permutation_primary,0.0,0.0,std,decision_tree,default
open_close_Open/Close,permutation_primary,0.0,0.0,std,decision_tree,default
open_close_Unknown,permutation_primary,0.0,0.0,std,decision_tree,default
gender_M,permutation_primary,0.0,0.0,std,decision_tree,default
gender_MF,permutation_primary,0.0,0.0,std,decision_tree,default
gender_U,permutation_primary,0.0,0.0,std,decision_tree,default
mental_health_Unclear,permutation_primary,0.0,0.0,std,decision_tree,default
mental_health_Unknown,permutation_primary,0.0,0.0,std,decision_tree,default
mental_health_Yes,permutation_primary,0.0,0.0054229956188630345,std,decision_tree,default
race_Black,permutation_primary,0.0,0.0,std,decision_tree,default
race_Latino,permutation_primary,0.0,0.0,std,decision_tree,default
race_Other,permutation_primary,-0.002722772277227725,0.002462840190857972,std,decision_tree,default
race_Unknown,permutation_primary,0.0,0.0,std,decision_tree,default
race_White,permutation_primary,0.0,0.0,std,decision_tree,default
age,permutation_primary,0.005198019801980203,0.007083706941214948,std,decision_tree,default
multiple_shooters,permutation_primary,0.0,0.0,std,decision_tree,default
incident_area_Home,permutation_rf,0.008415841584158423,0.010396039603960405,std,decision_tree,default
incident_area_Military,permutation_rf,0.0,0.0015654839901823674,std,decision_tree,default
incident_area_Other,permutation_rf,-0.004950495049504955,0.009261528185084023,std,decision_tree,default
incident_area_Public_Open,permutation_rf,0.0024752475247524774,0.0039912167070784935,std,decision_tree,default
incident_area_Religious,permutation_rf,-0.001980198019801982,0.0028866098489333195,std,decision_tree,default
incident_area_School,permutation_rf,0.00990099009900991,0.004950495049504955,std,decision_tree,default
incident_area_Workplace,permutation_rf,0.002722772277227725,0.0107865141433173,std,decision_tree,default
open_close_Open,permutation_rf,0.0014851485148514865,0.004455445544554459,std,decision_tree,default
open_close_Open/Close,permutation_rf,0.005940594059405946,0.002970297029702973,std,decision_tree,default
open_close_Unknown,permutation_rf,-0.00767326732673268,0.008055019849145046,std,decision_tree,default
gender_M,permutation_rf,0.0032178217821782207,0.005484782130237712,std,decision_tree,default
gender_MF,permutation_rf,-0.0004950495049504955,0.0014851485148514865,std,decision_tree,default
gender_U,permutation_rf,-0.000990099009900991,0.0037046112740336088,std,decision_tree,default
mental_health_Unclear,permutation_rf,0.0007425742574257432,0.0028330502827375267,std,decision_tree,default
mental_health_Unknown,permutation_rf,-0.010643564356435653,0.010298338644908287,std,decision_tree,default
mental_health_Yes,permutation_rf,-0.0017326732673267342,0.019757065398819204,std,decision_tree,default
race_Black,permutation_rf,-0.0014851485148514865,0.009274749502571886,std,decision_tree,default
race_Latino,permutation_rf,0.0,0.0015654839901823674,std,decision_tree,default
race_Other,permutation_rf,0.00024752475247524774,0.0010789353820645242,std,decision_tree,default
race_Unknown,permutation_rf,0.0022277227722772297,0.00932416247615712,std,decision_tree,default
race_White,permutation_rf,-0.019059405940594076,0.006118419353617964,std,decision_tree,default
age,permutation_rf,0.01212871287128714,0.015924519907392916,std,decision_tree,default
multiple_shooters,permutation_rf,0.00024752475247524774,0.001078935382064524,std,decision_tree,default
incident_area_Home,gini_rf,0.036235173831326344,0.03492990340816924,std,decision_tree,default
incident_area_Military,gini_rf,0.02504436156510793,0.02498704208919508,std,decision_tree,default
incident_area_Other,gini_rf,0.03508471660843861,0.026982348506244726,std,decision_tree,default
incident_area_Public_Open,gini_rf,0.022198983237967568,0.021182680617354236,std,decision_tree,default
incident_area_Religious,gini_rf,0.012372265785599978,0.014015212353142613,std,decision_tree,default
incident_area_School,gini_rf,0.04954039833644396,0.03874084866672247,std,decision_tree,default
incident_area_Workplace,gini_rf,0.048335695465674296,0.032655734589722894,std,decision_tree,default
open_close_Open,gini_rf,0.017805388276424396,0.017715984515155936,std,decision_tree,default
open_close_Open/Close,gini_rf,0.012885675810144463,0.015312615905534755,std,decision_tree,default
open_close_Unknown,gini_rf,0.029299856588429898,0.021237241131953067,std,decision_tree,default
gender_M,gini_rf,0.012398722376865887,0.01460879557519422,std,decision_tree,default
gender_MF,gini_rf,0.01726668494057376,0.02271675660874697,std,decision_tree,default
gender_U,gini_rf,0.005048116928241492,0.00990162323376429,std,decision_tree,default
mental_health_Unclear,gini_rf,0.020019567356542263,0.022555975973275688,std,decision_tree,default
mental_health_Unknown,gini_rf,0.059466639366742895,0.05094324575551903,std,decision_tree,default
mental_health_Yes,gini_rf,0.13777228361281377,0.0613028879649163,std,decision_tree,default
race_Black,gini_rf,0.04387319569943113,0.03189754653507396,std,decision_tree,default
race_Latino,gini_rf,0.005405767857592594,0.006799389756392134,std,decision_tree,default
race_Other,gini_rf,0.012256782679190968,0.01763557638458076,std,decision_tree,default
race_Unknown,gini_rf,0.03544095550603551,0.026889820074094756,std,decision_tree,default
race_White,gini_rf,0.060887173930048916,0.037453435228765555,std,decision_tree,default
age,gini_rf,0.29938389813425065,0.07809809275411152,std,decision_tree,default
multiple_shooters,gini_rf,0.001977696106112732,0.0034261506317057383,std,decision_tree,default
