strategy,model,threshold_mode,features,accuracy_mean,accuracy_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std,recall_very_high_mean,recall_very_high_std,precision_very_high_mean,precision_very_high_std,f1_very_high_mean,f1_very_high_std,n_folds,elapsed_s
rule,decision_tree,default,ctx,0.3634997316156736,0.0515726002609124,0.7496914971283364,0.023154707455342476,0.3634997316156736,0.0515726002609124,0.41048036054656356,0.05170479772330903,0.02222222222222222,0.04444444444444444,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.06666666666666667,5,0.05
rule,decision_tree,youden,ctx,0.3349896480331263,0.051675293276925584,0.7404967402760496,0.019594182701642412,0.3349896480331263,0.051675293276925584,0.39589422867540297,0.04978302902636556,0.18222222222222223,0.31187208520620147,0.08405797101449275,0.12910757942794251,0.06470588235294117,0.0793088173182615,5,0.05
rule,multinomial_lr,default,ctx,0.429299900314393,0.04274055543347381,0.7227313864543932,0.034011859062025473,0.429299900314393,0.04274055543347381,0.5033525023406977,0.04401531913571953,0.21333333333333332,0.10456258094238748,0.09531047656047656,0.04492320119985217,0.12785710389445892,0.055514385970816066,5,0.11
rule,multinomial_lr,youden,ctx,0.3858446438156583,0.07574088551817802,0.7293681981291631,0.031341236838571,0.3858446438156583,0.07574088551817802,0.4652515567191896,0.07401084675515389,0.30666666666666664,0.25749026111272877,0.12577777777777777,0.108212601794333,0.14134738986503695,0.07644578166422278,5,0.12
rule,naive_bayes,default,ctx,0.11909362778927997,0.01764385754111775,0.7297365369507952,0.03165136278938865,0.11909362778927997,0.01764385754111775,0.12677289385681495,0.02779338603939955,0.8577777777777778,0.1491374376494446,0.06166341187789692,0.006692567354215457,0.11489157478774974,0.012459947476265281,5,0.04
rule,naive_bayes,youden,ctx,0.17126754083275822,0.10832855683211778,0.7409506657249231,0.04255814841483864,0.17126754083275822,0.10832855683211778,0.20150947625124735,0.14046656448099304,0.6333333333333333,0.23643441916925131,0.14706954603506325,0.17653479647367334,0.14423465423465426,0.07128582965901664,5,0.05
rule,decision_tree,default,full,0.43160033739743897,0.1480662607562802,0.7088072344611887,0.07803045462541242,0.43160033739743897,0.1480662607562802,0.47956453747226463,0.12980570114819376,0.3333333333333333,0.22211108331943574,0.09955722326454033,0.08719753922331117,0.13799245915374947,0.09966058978261871,5,0.05
rule,decision_tree,youden,full,0.29768422666973393,0.03536488729268944,0.7532622353902856,0.028458872766010494,0.29768422666973393,0.03536488729268944,0.34959384842616525,0.034288472326497586,0.18666666666666668,0.15289793254906286,0.09992826398852225,0.09906314629759742,0.12298989898989898,0.11183050126947577,5,0.06
rule,multinomial_lr,default,full,0.48383559542979837,0.0339162901644434,0.7026994419035948,0.014295775040041002,0.48383559542979837,0.0339162901644434,0.551627504146734,0.02760770394788713,0.2911111111111111,0.16501402858432862,0.1084440349886574,0.0632986399726226,0.15704193093727978,0.09009303121026768,5,1.15
rule,multinomial_lr,youden,full,0.4452879380415613,0.06244853204791805,0.7341598536302056,0.0225169177094346,0.4452879380415613,0.06244853204791805,0.5192334108802192,0.059145898767677965,0.22888888888888886,0.0793803159977411,0.0896583850931677,0.04488983830252066,0.12488284703801947,0.054482091935308216,5,1.16
rule,naive_bayes,default,full,0.16751016026378346,0.05601343591569513,0.7378954839022814,0.0457245224584531,0.16751016026378346,0.05601343591569513,0.2003289728962759,0.08190209305585777,0.8511111111111112,0.1119082516623482,0.06328294615905236,0.007022957952987447,0.11773294064523956,0.012876952572599201,5,0.05
rule,naive_bayes,youden,full,0.21845717352963728,0.10085397192760498,0.7507520238963483,0.02076257566373852,0.21845717352963728,0.10085397192760498,0.27141177937342337,0.12156053627228092,0.6088888888888888,0.20767971542144134,0.06831741243505948,0.021848437802059962,0.11379402827569954,0.01638331475653299,5,0.06
std,decision_tree,default,ctx,0.3214400736139867,0.042035450661016105,0.9077543359416167,0.008848843037442227,0.3214400736139867,0.042035450661016105,0.42375390870543156,0.05015021486987414,0.5361111111111111,0.28404051180364925,0.0977972027972028,0.01460379936620257,0.15768069738940035,0.01867769923712103,5,0.04
std,decision_tree,youden,ctx,0.3288168085269535,0.014827153291909883,0.8978805855502706,0.01750599880684514,0.3288168085269535,0.014827153291909883,0.4384690530633947,0.01787132121749552,0.1388888888888889,0.1337954953199144,0.05416666666666666,0.048591265790377494,0.07736363636363637,0.07093263012555594,5,0.05
std,multinomial_lr,default,ctx,0.40941645579326735,0.016772933241139792,0.8957697420959498,0.013933924709223774,0.40941645579326735,0.016772933241139792,0.5144973527315176,0.021317746274619305,0.5361111111111111,0.06060395619242064,0.12546439628482972,0.015879916759094198,0.20328600814923004,0.02500241039443895,5,0.1
std,multinomial_lr,youden,ctx,0.39822866344605473,0.030788443522148146,0.9023315958452685,0.013115349538925382,0.39822866344605473,0.030788443522148146,0.5014556533255522,0.037698600591550335,0.6055555555555555,0.16306289023821302,0.11904511637774493,0.015225199696280433,0.19693680180002365,0.023364724465458876,5,0.11
std,naive_bayes,default,ctx,0.28925695882217617,0.07189498568892443,0.9027798026755095,0.016469436399242515,0.28925695882217617,0.07189498568892443,0.3840433877170031,0.10007741688534223,0.11666666666666665,0.10599324460188285,0.07666666666666666,0.07571877794400364,0.08299319727891157,0.07746265403497399,5,0.04
std,naive_bayes,youden,ctx,0.3474196764051837,0.023248172596161507,0.9029928727771457,0.01807607676955729,0.3474196764051837,0.023248172596161507,0.44753626758769016,0.027343929236070746,0.46944444444444444,0.13732452327009195,0.14375702728643908,0.03350507373503548,0.2087719298245614,0.027678070560959445,5,0.05
std,decision_tree,default,full,0.6551031362625566,0.03374495083591847,0.9074564970888442,0.016606386297862957,0.6551031362625566,0.03374495083591847,0.7351223594452871,0.024927922234126324,0.888888888888889,0.1405456737852613,0.14663989265328276,0.00988006895059125,0.25049844511161423,0.013159030117542103,5,0.05
std,decision_tree,youden,full,0.6439383482861744,0.04114256959750697,0.9046839591955331,0.017132632652854064,0.6439383482861744,0.04114256959750697,0.7305370409415699,0.027335777911021118,0.5055555555555555,0.3850605211369657,0.11860754763980572,0.059742684556675675,0.1758781383955909,0.1008814095293709,5,0.06
std,multinomial_lr,default,full,0.6997622881680854,0.00696569579977502,0.9012176393128504,0.010312905620131891,0.6997622881680854,0.00696569579977502,0.7694938797139288,0.005893943696128748,0.6305555555555555,0.12347839317162704,0.2046037296037296,0.06099826029690762,0.3074817865061768,0.08351251198455881,5,0.85
std,multinomial_lr,youden,full,0.6637527796948086,0.023617970097828976,0.9081180732264379,0.00833416283007099,0.6637527796948086,0.023617970097828976,0.7444672613014647,0.018637306151171467,0.6305555555555555,0.07328281087929397,0.18364912280701756,0.05631304578767595,0.2776599238374734,0.06351151858519449,5,0.85
std,naive_bayes,default,full,0.3314163024307952,0.0697965567999653,0.883965813199888,0.024252821310694665,0.3314163024307952,0.0697965567999653,0.43849057204499237,0.08798672188331316,0.11666666666666665,0.10599324460188285,0.06829131652661065,0.07885328694375987,0.08194840041279669,0.08704194165893782,5,0.05
std,naive_bayes,youden,full,0.38608235564757304,0.10462583095651039,0.8862920438048958,0.0247846126628892,0.38608235564757304,0.10462583095651039,0.4804145612773185,0.11428381825989653,0.6305555555555555,0.23953401263677887,0.10432311307488984,0.035723407331829535,0.17792032155605886,0.06042828164244603,5,0.05
quartile,decision_tree,default,ctx,0.35985737290085124,0.038538027175890686,0.3850923486270127,0.07189794037559984,0.35985737290085124,0.038538027175890686,0.3123789872111965,0.03702232774242087,0.8648648648648649,0.10945111746657617,0.3251450512196307,0.012850891850013686,0.4712280422821992,0.02558172530017628,5,0.04
quartile,decision_tree,youden,ctx,0.33126293995859213,0.027900423234655098,0.34814321175223967,0.16558848703480167,0.33126293995859213,0.027900423234655098,0.2668556491732785,0.05195078482541567,0.3243243243243243,0.39389052329160384,0.3311161501637692,0.3653592364724235,0.19601281924207883,0.22087484471146684,5,0.05
quartile,multinomial_lr,default,ctx,0.3834521892492907,0.04384704155356504,0.4033245965071221,0.04737655751574002,0.3834521892492907,0.04384704155356504,0.36360821980903907,0.033907405224969656,0.6810810810810811,0.12837126580581532,0.33787544424340926,0.03673486968290822,0.44954589354756286,0.05609644633275042,5,0.07
quartile,multinomial_lr,youden,ctx,0.34742734452879376,0.03199213954010105,0.36955393994653357,0.0665384674395253,0.34742734452879376,0.03199213954010105,0.3060236986247459,0.03619220237788664,0.7081081081081081,0.13823472273020995,0.330988728270322,0.03374615296844174,0.44850360107119025,0.05445290103012415,5,0.08
quartile,naive_bayes,default,ctx,0.33120926309332105,0.05594132203877841,0.3481256150035292,0.11323398172816584,0.33120926309332105,0.05594132203877841,0.24406014854163477,0.06959948903484953,0.10270270270270272,0.04649905549752771,0.5496031746031745,0.15057419285368903,0.1703645147123408,0.07139330115591544,5,0.04
quartile,naive_bayes,youden,ctx,0.3473966720343532,0.06747615205312513,0.3854061971772859,0.10919851912147652,0.3473966720343532,0.06747615205312513,0.298058920647302,0.08014381788804568,0.3567567567567568,0.3088185266396908,0.5017907810042641,0.1439384484547325,0.322286913301406,0.15358914336824417,5,0.05
quartile,decision_tree,default,full,0.3809600490759911,0.03836699039321003,0.38275798708870595,0.06065979070038191,0.3809600490759911,0.03836699039321003,0.3419470455285126,0.04172230662669162,0.6486486486486487,0.15572821936095063,0.4088731353609457,0.04009043263530672,0.4900214182720809,0.03247284793319525,5,0.05
quartile,decision_tree,youden,full,0.36608388927229507,0.03929498800797981,0.3545981939202007,0.10862712840660202,0.36608388927229507,0.03929498800797981,0.30637393063145757,0.05485753435634134,0.4486486486486487,0.25272799410942615,0.38612037387899456,0.20239149038490514,0.4032484436898699,0.2048833944299861,5,0.06
quartile,multinomial_lr,default,full,0.3970784449045318,0.024692853501647686,0.3936098920237015,0.025032168409160095,0.3970784449045318,0.024692853501647686,0.3868005021435136,0.02345452504164256,0.6108108108108109,0.04712323182206132,0.4396505672414312,0.04882304415724501,0.5102601024153014,0.04454377703801508,5,0.52
quartile,multinomial_lr,youden,full,0.3797178130511464,0.04515413117113951,0.37626351174524864,0.03948941807040526,0.3797178130511464,0.04515413117113951,0.36539737174570713,0.04070067699636693,0.5513513513513514,0.0696437769012169,0.4409727622677061,0.06464394643865892,0.4840065762806577,0.046597168170748805,5,0.53
quartile,naive_bayes,default,full,0.3932750555938962,0.02810297316237269,0.3910736023117503,0.03961417704861864,0.3932750555938962,0.02810297316237269,0.31238341095157746,0.026132836997774453,0.35135135135135137,0.09362436797669607,0.5656648351648352,0.10182784923746775,0.42535337601490736,0.08075659597978352,5,0.05
